review_id,clean_text,metadata_json
c91b37a963cb92fa5be7,"this app is a trap,, not delivered parcel at time,, and also cancelled automatically,, and customer service guys are not getting perfect solution ,,all are Ash hole","{""review_id"": ""c91b37a963cb92fa5be7"", ""source"": ""play_store""}"
c8513da7daa494d015e7,"This app is superb, this is authentic and genuine app","{""review_id"": ""c8513da7daa494d015e7"", ""source"": ""play_store""}"
e73201215c8640482643,very 😞 bad,"{""review_id"": ""e73201215c8640482643"", ""source"": ""play_store""}"
acc179dbd7fdff6bdd1c,good and genuine products at best price,"{""review_id"": ""acc179dbd7fdff6bdd1c"", ""source"": ""play_store""}"
74b641d9721d951bfdd1,packing is not good ..how can I gift watches someone without proper package or box ??not satisfied,"{""review_id"": ""74b641d9721d951bfdd1"", ""source"": ""play_store""}"
7e3d566bec8fd7e16807,"The overall experience is good. However, the quality of some products does not meet the expected standards due to their low price.","{""review_id"": ""7e3d566bec8fd7e16807"", ""source"": ""play_store""}"
b389ca1781f51c0a4a26,"not trust worthy, I applied 2 orders, but received only one, payment done for 2, contacted customer support but no use, very bad app, don't install","{""review_id"": ""b389ca1781f51c0a4a26"", ""source"": ""play_store""}"
9a57fa49d661ccd0802f,The best shopping app I really trust the myntra app really the product quality and trust that your giving is very good every aspect taking order to delivering is very trustworthy no words to say I love the app very much,"{""review_id"": ""9a57fa49d661ccd0802f"", ""source"": ""play_store""}"
1d2001349e5b830d3a40,worst experience with myntra,"{""review_id"": ""1d2001349e5b830d3a40"", ""source"": ""play_store""}"
a80248f9c32f1e5e177a,nice products and got product delivered on time,"{""review_id"": ""a80248f9c32f1e5e177a"", ""source"": ""play_store""}"
69520906103231faba9e,thanks for myntra,"{""review_id"": ""69520906103231faba9e"", ""source"": ""play_store""}"
6d4410cbd247383d4ae3,very good and trusted fashion app,"{""review_id"": ""6d4410cbd247383d4ae3"", ""source"": ""play_store""}"
c4100d603f3e2878f681,if you can't give products in sale please don't fool customers by tag of sale sale. My more than 2 products are cancelled . 👎👎,"{""review_id"": ""c4100d603f3e2878f681"", ""source"": ""play_store""}"
1f4d94e3eb4423b011ef,I get everything i need in myntra that too with fast deliveries and instant refunds when needed,"{""review_id"": ""1f4d94e3eb4423b011ef"", ""source"": ""play_store""}"
f5b6f3ae5aba44b7ca49,abhi tak jo bhi cosmetics products buy kiye hai saare original and very geninune price ke hai 👍,"{""review_id"": ""f5b6f3ae5aba44b7ca49"", ""source"": ""play_store""}"
174ff589aae6800d4bea,excellent app and orderd many product also 👍,"{""review_id"": ""174ff589aae6800d4bea"", ""source"": ""play_store""}"
cc8a883f65750f7c9e22,your site is one of the best,"{""review_id"": ""cc8a883f65750f7c9e22"", ""source"": ""play_store""}"
78a81be9d65cd6f360b0,it is an excellent app providing nice products,"{""review_id"": ""78a81be9d65cd6f360b0"", ""source"": ""play_store""}"
1c0ae1f696a47bafe946,because the quality is very good and have reasonable prices,"{""review_id"": ""1c0ae1f696a47bafe946"", ""source"": ""play_store""}"
a0574d09b1aafc2d755b,good product available,"{""review_id"": ""a0574d09b1aafc2d755b"", ""source"": ""play_store""}"
c05f6217fcf11fd1f465,worst app. not at all good response,"{""review_id"": ""c05f6217fcf11fd1f465"", ""source"": ""play_store""}"
e87bb93c2773e30fcd6f,great app for genuine product ls,"{""review_id"": ""e87bb93c2773e30fcd6f"", ""source"": ""play_store""}"
2bcd82952b2990063052,Good Products at Reasonable Prices.,"{""review_id"": ""2bcd82952b2990063052"", ""source"": ""play_store""}"
e3a15d73b4b6148d0db0,used only myntra,"{""review_id"": ""e3a15d73b4b6148d0db0"", ""source"": ""play_store""}"
728ace4da9cdede71785,qualitative product,"{""review_id"": ""728ace4da9cdede71785"", ""source"": ""play_store""}"
f388c56ba0b6d42840b0,lt was very fast delivery and good products,"{""review_id"": ""f388c56ba0b6d42840b0"", ""source"": ""play_store""}"
f166850f6a24aa46da03,Nice Products and on time delivery....,"{""review_id"": ""f166850f6a24aa46da03"", ""source"": ""play_store""}"
3f46f318d8d5ee7afc18,worst service,"{""review_id"": ""3f46f318d8d5ee7afc18"", ""source"": ""play_store""}"
2764501c97725435ac97,very good platform for online shopping,"{""review_id"": ""2764501c97725435ac97"", ""source"": ""play_store""}"
d9bf77d12b87ec933bbd,more useful app for shopping lowest price in best product,"{""review_id"": ""d9bf77d12b87ec933bbd"", ""source"": ""play_store""}"
8984353c465ba6ec0565,super best online shopping centre,"{""review_id"": ""8984353c465ba6ec0565"", ""source"": ""play_store""}"
a17811d74825f652eab4,i ortered a product which was not delivered and it's showing on app that it's delivered i called delivery boy and he said I'll deliver tomorrow then i said why did you delivered it you should postpone the date for tomorrow.i complained about this in help centre first time call came from their support team they said product will deliver today in the evening product was not delivered yet next day he came withe another product and said I forgot your product i will deliver tomorrow again not deliver,"{""review_id"": ""a17811d74825f652eab4"", ""source"": ""play_store""}"
a04db0c6ba8a1c7ae2f5,liked it quality of product is just amazing,"{""review_id"": ""a04db0c6ba8a1c7ae2f5"", ""source"": ""play_store""}"
daed162d652c1c86d571,exchange option is best,"{""review_id"": ""daed162d652c1c86d571"", ""source"": ""play_store""}"
e7ff977830922d6c3206,"very very very.......................best application I like this application very much This has a trust products real reviews, best quality for all products... I never use an online application this is my first and best application for my use I have liked it very much. I give you advice to use this application and won many prizes.....😁😊🥳🤩.... I don't have words to appreciate this . Really Really veryyyyyyyy best use this and trust on myntra . BESTEST APPLICATION IN WORLD 🌎 IS MYNTRA .....","{""review_id"": ""e7ff977830922d6c3206"", ""source"": ""play_store""}"
957012b299d250e4dc68,very good app and easy to use,"{""review_id"": ""957012b299d250e4dc68"", ""source"": ""play_store""}"
97e1673497f72572722c,itvis a very good app,"{""review_id"": ""97e1673497f72572722c"", ""source"": ""play_store""}"
a73d1376cc28f7e678c4,perfect for genuine shopping,"{""review_id"": ""a73d1376cc28f7e678c4"", ""source"": ""play_store""}"
371c45bb990d54f8ad9b,Too Goooddddd!!!!!👍👏❤️,"{""review_id"": ""371c45bb990d54f8ad9b"", ""source"": ""play_store""}"
9f8d73018df0d9c747c1,mai hmesha myntra se hi shopping krti hu good quywith good price,"{""review_id"": ""9f8d73018df0d9c747c1"", ""source"": ""play_store""}"
91f5452358baf3177036,very best online shopping app for myntra,"{""review_id"": ""91f5452358baf3177036"", ""source"": ""play_store""}"
f84d0351dbdbd00fe83c,faith full brands,"{""review_id"": ""f84d0351dbdbd00fe83c"", ""source"": ""play_store""}"
84416712dc7210466eb1,good products,"{""review_id"": ""84416712dc7210466eb1"", ""source"": ""play_store""}"
85792e4e9b195e58ad88,Happy to see your fast service...,"{""review_id"": ""85792e4e9b195e58ad88"", ""source"": ""play_store""}"
f1b7f825539c7f46954d,best shopping app,"{""review_id"": ""f1b7f825539c7f46954d"", ""source"": ""play_store""}"
0f6f09d94559addb7143,quick and easy order placement,"{""review_id"": ""0f6f09d94559addb7143"", ""source"": ""play_store""}"
